"FID"	"phen"	"x"	"y"	"n_eggs_max"	"pldens_3"	"phen_n3"
4244	2	1499931.886	-29.54235925	0	18.194254424	3.5746887966805
4245	1	1499931.915	-29.94876006	0	17.4526725542	3.50939457202505
4246	2	1499931.763	-30.19429389	0	15.9382822829	3.49774774774775
4247	3	1499932.218	-28.45650708	0	23.0275587934	3.62142857142857
4248	5	1499932.131	-28.66182416	0	21.9618222845	3.59709618874773
4249	5	1499932.133	-28.80364111	0	22.1754686691	3.58823529411765
4250	4	1499932.135	-29.15924182	0	20.9544801197	3.57169117647059
4251	4	1499932.059	-29.16135849	0	20.2670293057	3.56981132075472
4252	4	1499932.059	-29.16135849	0	20.2670293057	3.56981132075472
4253	4	1499932.059	-29.16135849	0	20.2670293057	3.56981132075472
4254	4	1499932.059	-29.16135849	0	20.2670293057	3.56981132075472
4255	4	1499931.466	-28.45439041	0	18.8724396492	3.60685483870968
4256	2	1499931.57	-28.66182416	0	18.4314034866	3.62833675564682
4257	2	1499931.346	-28.69992423	0	17.2469460286	3.62554112554113
4258	2	1499931.346	-28.69992423	0	17.2469460286	3.62554112554113
4259	1	1499931.346	-28.69992423	0	17.2469460286	3.62770562770563
4260	1	1499931.346	-28.69992423	0	17.2469460286	3.62770562770563
4261	1	1499931.346	-28.69992423	0	17.2469460286	3.62770562770563
4262	4	1499931.138	-28.25542334	0	18.5956556072	3.618
4263	5	1499931.138	-28.25542334	0	18.5956556072	3.616
4264	4	1499931.183	-28.33374017	0	18.3879103469	3.63562753036437
4265	3	1499931.17	-28.38877361	0	17.7798421642	3.61715481171548
4266	3	1499931.17	-28.38877361	0	17.7798421642	3.61715481171548
4267	3	1499931.17	-28.38877361	0	17.7798421642	3.61715481171548
4268	3	1499931.075	-28.35067353	0	17.9368252038	3.62054507337526
4269	2	1499931.075	-28.35067353	0	17.9368252038	3.62264150943396
4270	1	1499930.916	-28.49037381	0	16.1954354456	3.62387387387387
4271	1	1499930.916	-28.49037381	0	16.1954354456	3.62387387387387
4272	4	1499930.916	-28.49037381	0	16.1954354456	3.61711711711712
4273	2	1499930.916	-28.49037381	0	16.1954354456	3.62162162162162
4274	6	1499930.819	-28.78670774	0	14.6868492563	3.56511056511057
4275	2	1499930.774	-28.82692449	0	14.3273349563	3.57215189873418
4276	2	1499930.774	-28.82692449	0	14.3273349563	3.57215189873418
4277	4	1499930.865	-29.14865846	0	13.9046917958	3.59020618556701
4278	4	1499930.865	-29.14865846	0	13.9046917958	3.59020618556701
4279	5	1499930.865	-29.14865846	0	13.9046917958	3.58762886597938
4280	6	1499930.865	-29.14865846	0	13.9046917958	3.58505154639175
4281	4	1499930.865	-29.14865846	0	13.9046917958	3.59020618556701
4282	1	1499930.658	-28.81422446	0	13.9129557366	3.60835509138381
4283	6	1499930.658	-28.82480782	0	13.6966439073	3.59210526315789
4284	1	1499930.666	-28.99202482	0	13.1747326773	3.61475409836066
4285	2	1499930.666	-28.99202482	0	13.1747326773	3.6120218579235
4286	4	1499930.673	-29.08727501	0	13.1284696439	3.60928961748634
4287	4	1499930.673	-29.08727501	0	13.1284696439	3.60928961748634
4288	4	1499931.109	-29.44710906	0	14.616985534	3.60591133004926
4289	2	1499931.109	-29.44710906	0	14.616985534	3.61083743842365
4290	6	1499931.229	-29.91912667	0	14.2462780955	3.51507537688442
4291	6	1499931.164	-29.99532682	0	13.6466174961	3.4934725848564
4292	6	1499931.164	-29.99532682	0	13.6466174961	3.4934725848564
4293	1	1499931.164	-29.99532682	0	13.6466174961	3.5065274151436
4294	4	1499931.164	-29.99532682	0	13.6466174961	3.49869451697128
4295	3	1499931.517	-29.89160995	0	15.7904951794	3.51369863013699
4296	6	1499930.719	-28.89677463	0	13.5327559113	3.6031746031746
4297	6	1499931.458	-28.25330667	0	19.6418285499	3.61988304093567
4298	4	1499936.257	-34.31780887	0	18.911517883	3.64905660377358
4299	4	1499936.263	-34.64800953	0	16.2098724712	3.625
4300	3	1499936.168	-34.44057578	0	17.3829553474	3.64476386036961
4301	1	1499936.066	-34.49560922	0	16.3520643349	3.61739130434783
4302	4	1499936.066	-34.49560922	0	16.3520643349	3.61086956521739
4303	3	1499936.066	-34.49560922	0	16.3520643349	3.61304347826087
4304	3	1499936.119	-34.89142668	0	14.6102140036	3.60731707317073
4305	4	1499936.119	-34.89142668	0	14.6102140036	3.60487804878049
4306	6	1499936.126	-34.96127682	0	14.1480904463	3.60201511335013
4307	4	1499935.922	-34.36225896	0	17.2407634836	3.61855670103093
4308	2	1499935.922	-34.36225896	0	17.2407634836	3.62268041237113
4309	2	1499935.922	-34.36225896	0	17.2407634836	3.62268041237113
4310	2	1499935.922	-34.36225896	0	17.2407634836	3.62268041237113
