"point_id"	"Mrub_sum"	"Msca_sum"	"Mrug_sum"	"Msch_sum"	"oth_sum"	"x"	"y"
452	0	0	0	0	0	1499987.286	-10.24167768
453	0	0	0	13	0	1499984.285	-10.24167768
454	0	0	3	1	0	1499981.284	-10.24167768
455	0	0	0	0	0	1499993.288	-7.240645571
456	0	0	0	0	0	1499990.287	-7.240645571
457	0	0	0	13	0	1499987.286	-7.240645571
458	0	0	0	0	0	1499984.285	-7.240645571
459	0	2	0	0	0	1499981.284	-7.240645571
460	0	0	0	0	0	1499993.288	-4.239613462
461	0	0	0	0	0	1499990.287	-4.239613462
462	0	0	0	0	0	1499987.286	-4.239613462
463	0	1	0	0	0	1499984.285	-4.239613462
464	0	0	5	0	0	1499981.284	-4.239613462
